,Date,Open,High,Low,Close*,Adj Close**,Volume,Date2
213,"Oct 01, 2018",375.85,386.80,343.00,351.35,351.35,45411300,2018-10-01
214,"Sep 24, 2018",359.00,383.20,354.33,374.13,374.13,44363100,2018-09-24
215,"Sep 17, 2018",364.22,377.61,349.57,361.19,361.19,48061400,2018-09-17
216,"Sep 10, 2018",352.27,374.09,343.08,364.56,364.56,35553600,2018-09-10
217,"Sep 03, 2018",366.47,368.88,335.83,348.68,348.68,42854000,2018-09-03
218,"Aug 27, 2018",367.15,376.81,360.00,367.68,367.68,53693000,2018-08-27
219,"Aug 20, 2018",314.64,359.15,310.93,358.82,358.82,63370500,2018-08-20
220,"Aug 13, 2018",339.89,347.19,312.96,316.78,316.78,41576200,2018-08-13
221,"Aug 06, 2018",342.87,357.31,341.74,345.87,345.87,30712400,2018-08-06
222,"Jul 30, 2018",351.93,352.03,328.00,343.09,343.09,56116300,2018-07-30
223,"Jul 23, 2018",359.15,367.40,351.65,355.21,355.21,48767700,2018-07-23
224,"Jul 16, 2018",398.98,403.36,344.00,361.05,361.05,135092100,2018-07-16
225,"Jul 09, 2018",415.95,419.77,395.08,395.80,395.80,58686600,2018-07-09
226,"Jul 02, 2018",385.45,408.65,380.00,408.25,408.25,30501300,2018-07-02
227,"Jun 25, 2018",404.69,411.59,378.75,391.43,391.43,75695900,2018-06-25
228,"Jun 18, 2018",387.72,423.21,386.50,411.09,411.09,68835000,2018-06-18
229,"Jun 11, 2018",361.88,398.86,360.91,391.98,391.98,55132600,2018-06-11
230,"Jun 04, 2018",362.68,369.83,355.51,360.57,360.57,37256000,2018-06-04
231,"May 28, 2018",351.50,359.99,346.71,359.93,359.93,29437400,2018-05-28
232,"May 21, 2018",327.11,354.36,325.45,351.29,351.29,45246800,2018-05-21
233,"May 14, 2018",327.25,330.50,322.43,324.18,324.18,21021000,2018-05-14
234,"May 07, 2018",321.99,332.06,319.34,326.46,326.46,27378900,2018-05-07
235,"Apr 30, 2018",311.07,320.98,305.73,320.09,320.09,32167800,2018-04-30
236,"Apr 23, 2018",329.15,331.22,292.62,311.76,311.76,54122000,2018-04-23
237,"Apr 16, 2018",315.99,338.82,304.00,327.77,327.77,82993000,2018-04-16
238,"Apr 09, 2018",291.77,317.49,289.12,311.65,311.65,57687500,2018-04-09
239,"Apr 02, 2018",291.94,299.16,271.22,288.85,288.85,61114700,2018-04-02
240,"Mar 26, 2018",309.36,322.90,275.90,295.35,295.35,62175300,2018-03-26
241,"Mar 19, 2018",315.80,319.50,300.36,300.94,300.94,38774200,2018-03-19
242,"Mar 12, 2018",333.56,333.98,313.28,318.45,318.45,56738100,2018-03-12
243,"Mar 05, 2018",302.85,331.44,297.60,331.44,331.44,80484400,2018-03-05
244,"Feb 26, 2018",288.75,301.18,283.23,301.05,301.05,52616000,2018-02-26
245,"Feb 19, 2018",277.74,286.64,274.45,285.93,285.93,33333400,2018-02-19
246,"Feb 12, 2018",252.14,281.96,249.00,278.52,278.52,45434200,2018-02-12
247,"Feb 05, 2018",262.00,272.45,236.11,249.47,249.47,59687000,2018-02-05
248,"Jan 29, 2018",274.20,286.81,262.71,267.43,267.43,60500300,2018-01-29
249,"Jan 22, 2018",222.00,274.60,221.20,274.60,274.60,89119200,2018-01-22
250,"Jan 15, 2018",224.24,226.07,216.32,220.46,220.46,41413100,2018-01-15
251,"Jan 08, 2018",210.02,222.55,206.91,221.23,221.23,33516500,2018-01-08
252,"Jan 01, 2018",196.10,210.02,195.42,209.99,209.99,32621100,2018-01-01
253,"Dec 25, 2017",189.78,194.49,185.22,191.96,191.96,22342800,2017-12-25
254,"Dec 18, 2017",191.20,191.65,185.26,189.94,189.94,27198100,2017-12-18
